Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Free Cash Flow,"-85,288,000","-82,154,000","-45,489,000","-48,163,000","-30,882,000","-28,511,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-1.695,-1.811,-1.097,-1.230,-0.912,-1.212,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Margin,94.376%,95.609%,94.711%,88.037%,83.925%,100.000%,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,-518.589%,-443.423%,-303.806%,-630.749%,-619.875%,-258.755%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,-540.524%,-476.734%,-288.477%,-583.872%,-638.780%,-267.629%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,-442.480%,-354.678%,-241.783%,-566.557%,-586.776%,-252.511%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-98,356,000","-101,848,000","-56,288,000","-52,762,000","-31,775,000","-28,357,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA Margin,-,-,-299.181%,-,-,-251.147%,Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"1,602,000","862,000","870,000","858,000","849,000","859,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-99,958,000","-102,710,000","-57,158,000","-53,620,000","-32,624,000","-29,216,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-258.755%,Upgrade,Financials in EUR,Fiscal year is January - December
Revenue as Reported,"23,163,000","23,163,000","18,814,000","8,501,000","5,263,000","11,291,000",Upgrade,Financials in EUR,Fiscal year is January - December
