Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Shares Outstanding (Basic),"5,049,720","5,049,720","2,103,713","987,417","987,220","987,220","637,344","403,965","274,372",-,"55,922","45,204","20,028","20,028",-,"80,061",-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,049,720","5,049,720","2,103,713","987,417","987,220","987,220","637,344","403,965","274,372",-,"55,922","45,204","20,028","20,028",-,"80,061",-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),411.509%,411.509%,230.075%,144.431%,259.811%,-,1039.702%,793.649%,1269.942%,-,-,-43.538%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.465,-0.391,-1.106,-2.076,-1.952,-2.134,-4.084,-4.953,-11.280,-,-30.092,-261.416,-70.109,-216.574,-,-12.719,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.470,-0.391,-1.106,-2.076,-1.952,-2.134,-4.084,-4.953,-11.280,-,-30.092,-261.416,-70.109,-216.574,-,-12.719,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,179,295","-2,007,123","-1,434,372","-3,223,645","-1,321,524","-1,572,725","-1,746,535","-1,942,342","-2,293,464","-2,151,368","-2,093,558","-3,178,809","-907,537","-1,220,018","-413,726","-543,115","-253,112","-219,571","-322,835",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.432,-0.397,-0.682,-3.265,-1.339,-1.593,-2.740,-4.808,-8.359,-,-37.437,-70.321,-45.313,-60.916,-,-6.784,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-2,503,002","-2,112,118","-2,433,284","-2,191,993","-2,099,213","-2,234,053","-2,749,539","-2,059,922","-2,301,554","-2,642,156","-2,150,029","-2,955,409","-1,276,769","-950,879","-775,750","-566,934","-302,123","-324,185","-372,725",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"25,000","25,000","25,000","25,674","26,010","26,011","26,011","26,011","26,011","26,011","26,010","26,011","26,010","26,011","26,011","26,011","26,010","26,011","26,011",Financials in USD,Fiscal year is January - December
EBIT,"-2,528,002","-2,137,118","-2,458,284","-2,217,667","-2,125,223","-2,260,064","-2,775,550","-2,085,933","-2,327,565","-2,668,167","-2,176,039","-2,981,420","-1,302,779","-976,890","-801,761","-592,945","-328,133","-350,196","-398,736",Financials in USD,Fiscal year is January - December
