Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Shares Change (YoY),393.392%,391.373%,323.103%,252.821%,0.617%,0.581%,0.491%,0.168%,1.617%,5.851%,13.928%,18.816%,970.908%,937.464%,867.994%,828.152%,1.958%,1.088%,0.626%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.782,-0.603,-2.512,-2.165,-0.356,-0.456,-0.351,-0.642,-0.755,-0.736,-0.961,-0.648,-0.647,-0.457,-0.366,-0.400,-7.517,-2.454,-2.435,-2.661,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.782,-0.603,-2.512,-2.165,-0.356,-0.456,-0.351,-0.644,-0.755,-0.740,-0.961,-0.648,-0.650,-0.460,-0.366,-0.400,-7.517,-2.454,-2.435,-2.661,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-81,792,000","-25,741,000","-13,334,000","-17,808,000","-8,650,000","-6,008,000","24,067,000","-6,755,000","-7,571,000","-8,230,000","-6,382,000","-6,819,000","-4,171,000","-3,749,000","-3,566,000","-6,108,000","-2,652,000","-1,841,000","-2,119,000","-2,646,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.359,-0.429,-0.259,-0.416,-0.709,-0.493,1.976,-0.557,-0.624,-0.679,-0.526,-0.563,-0.349,-0.327,-0.335,-0.599,-2.380,-1.667,-1.928,-2.410,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-150.941%,-7.237%,-34.084%,-65.525%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1505.704%,-1425.423%,-1977.162%,-362.023%,-129.958%,-135.421%,-189.129%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1618.557%,-1528.003%,-12584.257%,-2421.171%,-121.879%,-130.354%,-180.626%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2810.722%,-1088.875%,-1295.821%,-465.447%,-242.637%,-140.934%,1018.063%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-43,405,000","-33,148,000","-20,188,000","-13,700,000","-4,522,000","-5,672,000","-4,377,000","-7,692,000","-8,431,000","-8,013,000","-11,543,000","-7,726,000","-7,437,000","-5,565,000","-3,721,000","-3,817,000","-2,641,000","-2,556,000","-2,492,000","-2,727,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-126.844%,-133.052%,-185.152%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"411,000","549,000","157,000","151,000","111,000","101,000","94,000","95,000","103,000","113,000","111,000","118,000","286,000","175,000","176,000","256,000","177,000","159,000","163,000","161,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-43,816,000","-33,697,000","-20,345,000","-13,851,000","-4,633,000","-5,773,000","-4,471,000","-7,787,000","-8,534,000","-8,126,000","-11,654,000","-7,844,000","-7,723,000","-5,740,000","-3,897,000","-4,073,000","-2,818,000","-2,715,000","-2,655,000","-2,888,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-129.958%,-135.421%,-189.129%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
