Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Net Income,"-7,230,000","-6,049,000","-5,878,000","-7,754,000","-6,229,000","-9,830,000","-6,281,000","-7,491,000","-8,011,000","-6,672,000","-4,786,000","-4,832,000","-5,197,000","-7,039,000","-3,538,000","-7,483,367","-3,491,071","-3,906,142","-2,947,420","-2,618,027",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,503,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,230,000","-6,049,000","-5,878,000","-7,754,000","-6,229,000","-9,830,000","-6,281,000","-7,491,000","-8,011,000","-6,672,000","-4,786,000","-4,832,000","-5,197,000","-7,039,000","-3,538,000","-11,986,367","-3,491,071","-3,906,142","-2,947,420","-2,618,027",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"125,772,664","125,732,140","125,319,778","125,294,408","125,793,112","126,622,798","126,624,110","126,624,440","126,624,000","126,624,000","126,624,000","126,730,000","126,538,000","121,572,000","92,587,000","16,747,334","10,162,770","9,187,588","9,130,984","9,137,950",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"125,772,664","125,732,140","125,319,778","125,294,408","125,793,112","126,622,798","126,624,110","126,624,440","126,624,000","126,624,000","126,624,000","126,730,000","126,538,000","121,572,000","92,587,000","16,747,334","10,162,770","9,187,588","9,130,984","9,137,950",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-0.016%,-0.703%,-1.030%,-1.050%,-0.656%,-0.001%,0.000%,-0.083%,0.068%,4.156%,36.762%,656.717%,1145.113%,1223.220%,913.987%,83.272%,11.311%,0.673%,39.075%,60.486%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.057,-0.048,-0.047,-0.062,-0.050,-0.078,-0.050,-0.059,-0.063,-0.053,-0.038,-0.038,-0.041,-0.058,-0.038,-0.716,-0.344,-0.425,-0.323,-0.286,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.057,-0.048,-0.047,-0.062,-0.050,-0.078,-0.050,-0.059,-0.063,-0.053,-0.038,-0.038,-0.041,-0.058,-0.038,-0.716,-0.344,-0.425,-0.323,-0.286,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,760,000","-4,534,000","-4,704,000","-5,571,000","-3,884,000","-4,478,000","-7,022,000","-4,531,000","-5,416,000","-5,949,000","-4,891,000","-3,665,000","-3,071,000","-5,337,000","-4,408,000","-3,431,938","-2,681,035","-2,236,032","-3,229,995","-2,708,407",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.038,-0.036,-0.038,-0.044,-0.031,-0.035,-0.055,-0.036,-0.043,-0.047,-0.039,-0.029,-0.024,-0.044,-0.048,-0.205,-0.264,-0.243,-0.354,-0.296,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,381,000","-7,101,000","-6,975,000","-9,005,000","-7,465,000","-7,790,000","-7,095,000","-8,136,000","-8,203,000","-6,593,000","-4,745,000","-4,826,000","-5,152,000","-6,998,000","-3,522,000","-4,215,633","-3,496,262","-3,923,422","-2,924,683","-2,604,329",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,000","4,000","5,000","14,000","3,000","3,000","3,000","2,000","2,000","2,000","2,000","2,000","6,000","6,000","9,000","9,735","12,554","12,385","12,326","12,500",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,385,000","-7,105,000","-6,980,000","-9,019,000","-7,468,000","-7,793,000","-7,098,000","-8,138,000","-8,205,000","-6,595,000","-4,747,000","-4,828,000","-5,158,000","-7,004,000","-3,531,000","-4,225,368","-3,508,816","-3,935,807","-2,937,009","-2,616,829",Upgrade,Financials in USD,Fiscal year is January - December
