Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Net Income,"-8,365,798","-7,859,919","-7,433,608","-9,724,403","-11,345,936","-11,707,948","-6,851,689","-12,040,422","-3,515,308","-5,340,704","-7,365,008","-3,684,953","-2,279,216","-1,608,407","-949,300","-1,523,905","-659,088","-851,433","-748,962","-74,185",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,365,798","-7,859,919","-7,433,608","-9,724,403","-11,345,936","-11,707,948","-6,851,689","-12,040,422","-3,515,308","-5,340,704","-7,365,008","-3,684,953","-2,279,216","-1,608,407","-949,300","-1,523,905","-659,088","-851,433","-748,962","-74,185",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"33,804,693","30,555,012","29,887,325","26,866,591","23,637,367","22,434,781","21,833,598","21,853,926","19,269,989","18,466,586","18,466,586","18,499,728","18,455,586","12,874,961","9,231,737","3,934,811","2,775,127","2,768,346","2,768,346","18,180,748",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"33,804,693","30,555,012","29,887,325","26,866,591","23,637,367","22,434,781","21,833,598","21,853,926","19,269,989","18,466,586","18,466,586","18,499,728","18,455,586","12,874,961","9,231,737","3,934,811","2,775,127","2,768,346","2,768,346","18,180,748",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),43.014%,36.195%,36.887%,22.937%,22.664%,21.489%,18.233%,18.131%,4.413%,43.430%,100.034%,370.155%,565.036%,365.078%,233.475%,-78.357%,-84.736%,-84.773%,-84.773%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.247,-0.257,-0.249,-0.362,-0.480,-0.522,-0.314,-0.551,-0.182,-0.289,-0.399,-0.199,-0.123,-0.125,-0.103,-0.387,-0.237,-0.308,-0.271,-0.004,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.247,-0.257,-0.249,-0.362,-0.480,-0.522,-0.314,-0.551,-0.182,-0.289,-0.399,-0.199,-0.123,-0.125,-0.103,-0.387,-0.237,-0.308,-0.271,-0.004,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,241,422","-8,476,188","-11,725,809","-8,876,445","-6,179,284","-5,317,227","-7,951,397","-4,690,634","-4,001,995","-4,001,175","-6,266,777","-3,902,153","-2,309,325","-1,340,741","-3,116,243","-2,935,589","-715,640","-354,733","-60,662","-4,341",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.125,-0.277,-0.392,-0.330,-0.261,-0.237,-0.364,-0.215,-0.208,-0.217,-0.339,-0.211,-0.125,-0.104,-0.338,-0.746,-0.258,-0.128,-0.022,-0.000,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,-,-,-,-,-,-,-,"-3,964,495","-2,476,692","-1,789,954","-1,871,980","-526,591","-512,129","-777,223","-618,116","-41,555",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,-,-,-,-,-,-,-,148,148,148,148,107,162,161,161,159,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-8,462,534","-8,129,643","-7,922,106","-9,988,485","-11,563,954","-11,335,637","-6,984,699","-11,696,160","-3,562,953","-5,519,488","-7,450,157","-3,964,643","-2,476,840","-1,790,102","-1,872,128","-526,698","-512,291","-777,384","-618,277","-41,714",Upgrade,Financials in USD,Fiscal year is January - December
