Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Interest & Investment Income,"939,000","739,000","629,000","291,000","285,000","259,000","209,000","59,000","11,000",-,-,"2,061,000","4,424,000",-,-,-,-,"17,000","59,000","66,000",Upgrade,Financials in CHF,Fiscal year is January - December
Currency Exchange Gain (Loss),"-2,672,000","-2,504,000","1,613,000","-1,467,000","67,000","-16,000","-51,000","-109,000","17,000","345,000","140,000","-374,000","122,000","-178,000","543,000","-10,000","-143,000","-12,000","-389,000","-1,727,000",Upgrade,Financials in CHF,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,278,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBT Excluding Unusual Items,"5,503,000","-22,760,000","-17,862,000","-4,743,000","-15,140,000","-16,830,000","-17,510,000","-18,747,000","-13,512,000","-19,640,000","-18,844,000","-20,874,000","-15,583,000","-19,069,000","-16,734,000","-19,500,000","-18,994,000","-15,738,000","-7,689,000","-19,446,000",Upgrade,Financials in CHF,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,"-399,000","-335,000",-,-,-,-,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Pretax Income,"5,503,000","-22,760,000","-17,862,000","-4,743,000","-15,140,000","-16,830,000","-17,510,000","-18,747,000","-13,512,000","-19,640,000","-18,844,000","-21,273,000","-15,918,000","-19,069,000","-16,734,000","-19,500,000","-18,994,000","-15,738,000","-7,689,000","-19,446,000",Upgrade,Financials in CHF,Fiscal year is January - December
Income Tax Expense,-,-,-,"1,000","3,000","3,000","3,000","2,000","4,000","3,000","4,000","3,000",-,-,-,-,-,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Net Income,"5,503,000","-22,760,000","-17,862,000","-4,744,000","-15,143,000","-16,833,000","-17,513,000","-18,749,000","-13,516,000","-19,643,000","-18,848,000","-21,276,000","-15,918,000","-19,069,000","-16,734,000","-19,500,000","-18,994,000","-15,738,000","-7,689,000","-19,446,000",Upgrade,Financials in CHF,Fiscal year is January - December
Net Income to Common,"5,503,000","-22,760,000","-17,862,000","-4,744,000","-15,143,000","-16,833,000","-17,513,000","-18,749,000","-13,516,000","-19,643,000","-18,848,000","-21,276,000","-15,918,000","-19,069,000","-16,734,000","-19,500,000","-18,994,000","-15,738,000","-7,689,000","-19,446,000",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Outstanding (Basic),"99,840,693","99,549,910","99,385,471","86,741,966","84,715,515","84,612,997","83,625,826","83,604,683","83,590,948","84,462,675","83,486,354","81,891,238","72,887,967","72,715,783","72,305,949","71,936,029","71,925,009","71,875,102","71,864,213","71,861,673",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Outstanding (Diluted),"100,858,944","99,549,910","99,385,471","86,741,966","84,715,515","84,612,997","83,625,826","83,604,683","83,590,948","84,462,675","83,486,354","81,891,238","72,887,967","72,715,783","72,305,949","71,936,029","71,925,009","71,875,102","71,882,607","71,861,673",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Change (YoY),19.056%,17.653%,18.845%,3.753%,1.345%,0.178%,0.167%,2.092%,14.684%,16.155%,15.463%,13.839%,1.339%,1.170%,0.589%,0.103%,-0.493%,1.570%,0.851%,6.279%,Upgrade,Financials in CHF,Fiscal year is January - December
EPS (Basic),0.055,-0.229,-0.180,-0.055,-0.179,-0.199,-0.209,-0.224,-0.162,-0.233,-0.226,-0.260,-0.218,-0.262,-0.231,-0.271,-0.264,-0.219,-0.107,-0.271,Upgrade,Financials in CHF,Fiscal year is January - December
EPS (Diluted),0.050,-0.229,-0.180,-0.055,-0.180,-0.199,-0.209,-0.224,-0.162,-0.233,-0.226,-0.260,-0.218,-0.262,-0.231,-0.271,-0.264,-0.219,-0.110,-0.271,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow,"-14,312,000","72,959,000","775,000","-16,357,000","-13,580,000","-14,271,000","-17,001,000","-17,448,000","-13,658,000","-20,018,000","-23,683,000","-18,550,000","-14,994,000","-16,651,000","-18,129,000","-20,232,000","-15,847,000","-15,245,000","-9,899,000","-13,322,000",Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Per Share,-0.142,0.733,0.008,-0.189,-0.160,-0.169,-0.203,-0.209,-0.163,-0.237,-0.284,-0.227,-0.206,-0.229,-0.251,-0.281,-0.220,-0.212,-0.138,-0.185,Upgrade,Financials in CHF,Fiscal year is January - December
Gross Margin,43.174%,-,-,1.061%,-,-,-,-,-265.658%,-,-,-,-,-,-,-,-,-,-23.842%,-,Upgrade,Financials in CHF,Fiscal year is January - December
Operating Margin,28.523%,-3051.092%,-,-23.924%,-,-,-,-1869700.000%,-342.222%,-,-,-,-,-,-,-2061.970%,-1674.533%,-1448.476%,-59.458%,-2188.721%,Upgrade,Financials in CHF,Fiscal year is January - December
Profit Margin,21.593%,-3312.955%,-,-32.052%,-,-,-,-1874900.000%,-343.569%,-,-,-,-,-,-,-2065.678%,-1691.362%,-1453.186%,-62.609%,-2261.163%,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Margin,-56.159%,10619.942%,-,-110.513%,-,-,-,-1744800.000%,-347.178%,-,-,-,-,-,-,-2143.220%,-1411.131%,-1407.664%,-80.604%,-1549.070%,Upgrade,Financials in CHF,Fiscal year is January - December
EBITDA,"7,628,000","-20,583,000","-19,679,000","-3,124,000","-15,053,000","-16,640,000","-17,135,000","-18,235,000","-13,025,000","-19,426,000","-18,370,000","-21,902,000","-19,453,000","-18,214,000","-16,810,000","-19,057,000","-18,412,000","-15,321,000","-6,934,000","-18,460,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBITDA Margin,29.931%,-,-,-21.107%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-56.461%,-,Upgrade,Financials in CHF,Fiscal year is January - December
D&A For EBITDA,"359,000","378,000","389,000","417,000","413,000","406,000","436,000","462,000","438,000","433,000","460,000","486,000","495,000","475,000","441,000","408,000","393,000","366,000","368,000","363,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBIT,"7,269,000","-20,961,000","-20,068,000","-3,541,000","-15,466,000","-17,046,000","-17,571,000","-18,697,000","-13,463,000","-19,859,000","-18,830,000","-22,388,000","-19,948,000","-18,689,000","-17,251,000","-19,465,000","-18,805,000","-15,687,000","-7,302,000","-18,823,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBIT Margin,28.523%,-,-,-23.924%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-59.458%,-,Upgrade,Financials in CHF,Fiscal year is January - December
Revenue as Reported,"25,485,000","687,000",-,"14,801,000",-,-,-,"1,000","3,934,000",-,-,-,-,-,-,"944,000","1,123,000","1,083,000","12,281,000","860,000",Upgrade,Financials in CHF,Fiscal year is January - December
