Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Currency Exchange Gain (Loss),"-92,000","-196,000","-437,000","-300,000","-67,000","-155,000","-40,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-8,243,000",-,-,-,"-1,402,000","4,467,000","3,462,000","-59,000","-74,000","-137,000","-80,000","-65,000","2,616,000","-86,000","158,000","-1,558,000","-22,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-52,956,000","-45,257,000","-43,114,000","-40,243,000","-39,440,000","-37,505,000","-35,804,000","-29,718,000","-23,509,000","-27,266,000","-24,186,000","-4,941,000","-20,335,000","-15,622,000","-15,835,000","-10,676,000","-12,036,000","-10,757,000","-12,064,000","-2,751,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,"1,999,000","-38,000",-,"50,000",-,-,-,"-172,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-52,956,000","-45,257,000","-43,114,000","-40,243,000","-39,440,000","-37,505,000","-35,804,000","-29,718,000","-23,509,000","-27,266,000","-24,186,000","-6,940,000","-20,297,000","-15,622,000","-15,885,000","-10,676,000","-12,036,000","-10,757,000","-11,892,000","-2,751,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,012,000",-,"206,000","806,000","450,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-52,956,000","-45,257,000","-43,114,000","-40,243,000","-39,440,000","-37,505,000","-35,804,000","-29,718,000","-23,509,000","-27,266,000","-24,186,000","-6,940,000","-20,297,000","-15,622,000","-15,885,000","-9,664,000","-12,036,000","-10,963,000","-12,698,000","-3,201,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"37,590,727","36,103,187","35,685,422","30,126,578","29,668,247","29,602,458","28,369,453","27,326,726","25,549,701","24,053,977","23,993,698","23,435,383","23,362,237","23,305,673","23,229,794","21,623,123","20,175,883","17,623,994","2,484,057","2,417,325",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"37,590,727","36,103,187","35,685,422","30,126,578","29,668,247","29,602,458","28,369,453","27,326,726","25,549,701","24,053,977","23,993,698","23,435,383","23,362,237","23,305,673","23,229,794","21,623,123","20,175,883","17,623,994","2,484,057","2,417,325",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),26.704%,21.960%,25.788%,10.246%,16.120%,23.067%,18.237%,16.605%,9.363%,3.211%,3.288%,8.381%,15.793%,32.238%,835.155%,794.506%,761.193%,670.260%,9.995%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.409,-1.254,-1.208,-1.336,-1.329,-1.267,-1.262,-1.088,-0.920,-1.134,-1.008,-0.296,-0.869,-0.670,-0.684,-0.447,-0.597,-0.622,-5.112,-1.324,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.410,-1.254,-1.208,-1.336,-1.330,-1.267,-1.262,-1.088,-0.920,-1.134,-1.008,-0.296,-0.869,-0.670,-0.684,-0.447,-0.597,-0.622,-5.112,-1.324,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-30,886,000","-40,111,000","-45,506,000","-26,000,000","-34,532,000","-31,143,000","-35,297,000","-21,794,000","-24,778,000","-23,157,000","-1,574,000","-19,724,000","-14,586,000","-18,147,000","-10,715,000","-8,051,000","-10,886,000","-9,955,000","-8,296,000","-5,516,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.822,-1.111,-1.275,-0.863,-1.164,-1.052,-1.244,-0.798,-0.970,-0.963,-0.066,-0.842,-0.624,-0.779,-0.461,-0.372,-0.540,-0.565,-3.340,-2.282,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,5.835%,-,-,-,-,-,-,-,-66.440%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-15117.784%,-136321.622%,-58413.253%,-32486.014%,-541000.000%,-,-,-,-,-,-,-24.330%,-,-15541.000%,-,-,-,-,-,-109.120%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-13648.454%,-122316.216%,-51944.578%,-28141.958%,-493000.000%,-,-,-,-,-,-,-34.700%,-,-15622.000%,-,-,-,-,-,-128.040%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-7960.309%,-108408.108%,-54826.506%,-18181.818%,-431650.000%,-,-,-,-,-,-,-98.620%,-,-18147.000%,-,-,-,-,-,-220.640%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-58,343,000","-50,133,000","-48,206,000","-46,208,000","-43,070,000","-41,146,000","-38,702,000","-31,833,000","-27,850,000","-30,420,000","-24,013,000","-4,762,000","-20,094,000","-15,450,000","-15,689,000","-13,216,000","-11,876,000","-10,846,000","-10,441,000","-2,669,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-23.810%,-,-,-,-,-,-,-,-106.760%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"314,000","306,000","277,000","247,000","210,000","191,000","167,000","127,000","126,000","308,000","113,000","104,000","103,000","91,000","80,000","75,000","72,000","68,000","63,000","59,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-58,657,000","-50,439,000","-48,483,000","-46,455,000","-43,280,000","-41,337,000","-38,869,000","-31,960,000","-27,976,000","-30,728,000","-24,126,000","-4,866,000","-20,197,000","-15,541,000","-15,769,000","-13,291,000","-11,948,000","-10,914,000","-10,504,000","-2,728,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-24.330%,-,-,-,-,-,-,-,-109.120%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"388,000","37,000","83,000","143,000","8,000",-,-,-,-,-,-,"20,000,000",-,"100,000",-,-,-,-,-,"2,500,000",Upgrade,Financials in USD,Fiscal year is January - December
