Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Interest & Investment Income,"2,129,000","1,072,000","1,353,000","1,519,000","1,444,000","709,000","765,000","614,000","152,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-20,000","-125,000","-21,000","12,000","1,000","33,000","29,000","-40,000","-8,000","42,000","-13,000","-77,000","-8,000","43,000","-57,000","-196,000","148,000","50,000","156,000","-245,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"60,000","54,000","2,000","41,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-24,248,000","-22,243,000","-20,346,000","-16,099,000","-16,599,000","-11,443,000","-10,557,000","-10,300,000","-10,386,000","-9,164,000","-8,300,000","-11,310,000","-10,546,000","-10,941,000","-10,217,000","-13,741,000","-8,763,000","-9,389,000","-15,421,000","-12,068,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-19,432,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,300,000",-,-,"-219,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-24,248,000","-22,243,000","-20,346,000","-16,099,000","-16,599,000","-11,443,000","-10,557,000","-10,300,000","-10,386,000","-9,164,000","-8,300,000","-11,310,000","-10,546,000","-10,941,000","-10,217,000","-13,741,000","-11,063,000","-9,389,000","-15,421,000","-31,719,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-24,248,000","-22,243,000","-20,346,000","-16,099,000","-16,599,000","-11,443,000","-10,557,000","-10,300,000","-10,386,000","-9,164,000","-8,300,000","-11,310,000","-10,546,000","-10,941,000","-10,217,000","-13,741,000","-11,063,000","-9,389,000","-15,421,000","-31,719,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-24,248,000","-22,243,000","-20,346,000","-16,099,000","-16,599,000","-11,443,000","-10,557,000","-10,300,000","-10,386,000","-9,164,000","-8,300,000","-11,310,000","-10,546,000","-10,941,000","-10,217,000","-13,741,000","-11,063,000","-9,389,000","-15,421,000","-31,719,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"211,847,651","182,584,078","182,550,109","179,843,515","174,696,191","152,796,617","152,781,580","152,773,739","152,773,015","152,771,103","152,769,224","152,617,779","152,587,848","152,460,531","76,992,407","60,709,052","60,288,993","58,858,216","57,364,265","43,822,367",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"211,847,651","182,584,078","182,550,109","179,843,515","174,696,191","152,796,617","152,781,580","152,773,739","152,773,015","152,771,103","152,769,224","152,617,779","152,587,848","152,460,531","76,992,407","60,709,052","60,288,993","58,858,216","57,364,265","43,822,367",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),21.266%,19.495%,19.484%,17.719%,14.350%,0.017%,0.008%,0.102%,0.121%,0.204%,98.421%,151.392%,153.094%,159.030%,34.217%,38.534%,44.483%,53.115%,59.273%,22.055%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.114,-0.122,-0.111,-0.090,-0.095,-0.075,-0.069,-0.067,-0.068,-0.060,-0.054,-0.074,-0.069,-0.072,-0.133,-0.226,-0.183,-0.160,-0.269,-0.724,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.114,-0.122,-0.111,-0.090,-0.095,-0.075,-0.069,-0.068,-0.068,-0.060,-0.054,-0.074,-0.070,-0.072,-0.133,-0.226,-0.183,-0.160,-0.269,-0.724,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-22,671,000","-22,516,000","-20,654,000","-15,627,000","-13,203,000","-10,497,000","-12,030,000","-8,651,000","-8,166,000","-9,321,000","-8,425,000","-9,403,000","-8,938,000","-12,200,000","-9,597,000","-12,305,000","-6,723,000","-7,772,000","-13,083,000","-9,956,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.107,-0.123,-0.113,-0.087,-0.076,-0.069,-0.079,-0.057,-0.053,-0.061,-0.055,-0.062,-0.059,-0.080,-0.125,-0.203,-0.112,-0.132,-0.228,-0.227,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1301500.000%,-3325.000%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1374100.000%,-4321.484%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1230500.000%,-2626.172%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-26,324,000","-23,157,000","-21,646,000","-17,598,000","-18,015,000","-12,177,000","-11,343,000","-10,867,000","-10,522,000","-8,914,000","-7,709,000","-10,666,000","-9,932,000","-10,379,000","-9,520,000","-12,949,000","-8,449,000","-9,093,000","-15,361,000","-11,720,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"33,000","33,000","32,000","32,000","29,000","8,000","8,000","7,000","8,000","8,000","8,000","2,000","40,000","47,000","47,000","66,000","63,000","68,000","58,000","58,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-26,357,000","-23,190,000","-21,678,000","-17,630,000","-18,044,000","-12,185,000","-11,351,000","-10,874,000","-10,530,000","-8,922,000","-7,717,000","-10,668,000","-9,972,000","-10,426,000","-9,567,000","-13,015,000","-8,512,000","-9,161,000","-15,419,000","-11,778,000",Upgrade,Financials in USD,Fiscal year is January - December
