Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Income Tax Expense,"-5,000","8,000","-23,000","505,000","-24,000","-34,000","44,000","41,000","41,000","14,000","15,000","-4,000","16,000","13,000","12,000","3,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-19,595,000","-16,380,000","-12,274,000","-18,630,000","-16,683,000","-16,846,000","-17,506,000","-24,056,000","-12,476,000","-17,289,000","-17,355,000","-18,230,000","-12,948,000","-16,156,000","-13,765,000","-12,920,000","-8,210,000","-6,855,000","-5,214,000","-4,558,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-19,595,000","-16,380,000","-12,274,000","-18,630,000","-16,683,000","-16,846,000","-17,506,000","-24,056,000","-12,476,000","-17,289,000","-17,355,000","-18,230,000","-12,948,000","-16,156,000","-13,765,000","-12,920,000","-8,210,000","-6,855,000","-5,214,000","-4,558,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"40,427,199","40,355,972","40,281,407","40,187,152","40,066,922","39,899,944","39,732,186","39,518,910","39,313,764","39,104,375","38,891,822","40,245,543","38,261,480","35,683,187","1,641,938","1,389,620","1,096,052","896,831","850,377","724,417",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"40,427,199","40,355,972","40,281,407","40,187,152","40,066,922","39,899,944","39,732,186","39,518,910","39,313,764","39,104,375","38,891,822","40,245,543","38,261,480","35,683,187","1,641,938","1,389,620","1,096,052","896,831","850,377","724,417",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.899%,1.143%,1.382%,1.691%,1.916%,2.034%,2.161%,-1.805%,2.750%,9.588%,2268.654%,2796.155%,3390.845%,3878.808%,93.084%,91.826%,70.790%,49.125%,41.400%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.485,-0.406,-0.305,-0.464,-0.416,-0.422,-0.441,-0.609,-0.317,-0.442,-0.446,-0.453,-0.338,-0.453,-8.383,-9.298,-7.491,-7.644,-6.131,-6.292,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.485,-0.406,-0.305,-0.464,-0.416,-0.422,-0.441,-0.609,-0.317,-0.442,-0.446,-0.453,-0.338,-0.453,-8.383,-9.298,-7.491,-7.644,-6.131,-6.292,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-14,290,000","-17,344,000","-18,200,000","-14,235,000","939,000","-17,946,000","-18,307,000","-21,357,000","-5,049,000","-18,144,000","-22,497,000","-16,290,000","-10,317,000","-20,712,000","-19,599,000","-14,339,000","-11,159,000","-4,415,000","-7,186,000","-5,927,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.353,-0.430,-0.452,-0.354,0.023,-0.450,-0.461,-0.540,-0.128,-0.464,-0.578,-0.405,-0.270,-0.580,-11.937,-10.319,-10.181,-4.923,-8.450,-8.182,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-19,219,000","-16,622,000","-13,119,000","-18,266,000","-17,892,000","-16,839,000","-17,445,000","-14,803,000","-15,144,000","-19,630,000","-17,916,000","-17,523,000","-14,906,000","-15,459,000","-12,919,000","-12,520,000","-8,131,000","-6,835,000","-5,469,000","-4,336,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,198,000","1,177,000","1,180,000","1,148,000","1,204,000","1,253,000","1,108,000","831,000","890,000","916,000","1,053,000","837,000","832,000","830,000","789,000","399,000","169,000","107,000","97,000","99,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-20,417,000","-17,799,000","-14,299,000","-19,414,000","-19,096,000","-18,092,000","-18,553,000","-15,634,000","-16,034,000","-20,546,000","-18,969,000","-18,360,000","-15,738,000","-16,289,000","-13,708,000","-12,919,000","-8,300,000","-6,942,000","-5,566,000","-4,435,000",Upgrade,Financials in USD,Fiscal year is January - December
