Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Shares Outstanding (Diluted),"11,539,608","11,540,560","9,720,128","8,157,580","7,672,622","7,325,806","6,543,842","5,961,416","5,835,200",Financials in SGD,Fiscal year is January - December
Shares Change (YoY),18.719%,41.470%,26.686%,11.354%,17.249%,22.887%,12.144%,-,-,Financials in SGD,Fiscal year is January - December
EPS (Basic),-0.094,-0.171,-0.222,-0.262,-0.130,-0.140,-0.157,-0.236,-0.091,Financials in SGD,Fiscal year is January - December
EPS (Diluted),-0.094,-0.171,-0.222,-0.262,-0.130,-0.144,-0.157,-0.264,-0.091,Financials in SGD,Fiscal year is January - December
Free Cash Flow,"-2,065,991","-1,440,297","-2,050,828","-965,334","-906,870","-1,649,090","-646,249","-474,415","-619,753",Financials in SGD,Fiscal year is January - December
Free Cash Flow Per Share,-0.179,-0.125,-0.211,-0.118,-0.118,-0.225,-0.099,-0.080,-0.106,Financials in SGD,Fiscal year is January - December
Operating Margin,-735.976%,-811.267%,-714.073%,-355.097%,-1116.302%,-1144.005%,-2674.810%,-1346.805%,-,Financials in SGD,Fiscal year is January - December
Profit Margin,-485.495%,-883.527%,-759.298%,-738.131%,-1335.185%,-1204.360%,-3582.480%,-2364.704%,-,Financials in SGD,Fiscal year is January - December
Free Cash Flow Margin,-921.565%,-644.394%,-721.553%,-333.600%,-1216.573%,-1935.052%,-2258.112%,-797.765%,-,Financials in SGD,Fiscal year is January - December
EBITDA,"-1,483,064","-1,637,408","-1,826,477","-828,157","-641,141","-807,480","-605,602","-648,749","-376,948",Financials in SGD,Fiscal year is January - December
D&A For EBITDA,"166,870","175,872","203,089","199,383","190,984","167,464","159,902","152,169","139,857",Financials in SGD,Fiscal year is January - December
EBIT,"-1,649,934","-1,813,280","-2,029,566","-1,027,540","-832,125","-974,944","-765,504","-800,918","-516,805",Financials in SGD,Fiscal year is January - December
Advertising Expenses,"8,639",-,"24,370",-,-,-,-,-,-,Financials in SGD,Fiscal year is January - December
