Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"443,000",-,-,-,"-129,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-9,937,000","-7,041,000","-9,151,000","-8,141,000","-6,749,000","-4,726,000","-6,172,000","-5,182,000","-6,625,000","-5,877,000","-3,713,000","-7,339,000","-3,110,000","-1,490,000","223,000","-1,868,000","-1,791,000","-1,674,000","-2,506,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,"-125,000","125,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-9,937,000","-7,041,000","-9,151,000","-8,141,000","-6,749,000","-4,726,000","-6,172,000","-5,182,000","-6,625,000","-5,752,000","-3,838,000","-7,339,000","-3,110,000","-1,490,000","223,000","-1,868,000","-1,791,000","-1,674,000","-2,506,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,"206,000","1,859,000","1,339,000","1,128,000","1,064,000","1,064,000","1,053,000","1,053,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,937,000","-7,041,000","-9,151,000","-8,141,000","-6,749,000","-4,726,000","-6,172,000","-5,182,000","-6,625,000","-5,752,000","-3,838,000","-7,545,000","-4,969,000","-2,829,000","-905,000","-2,932,000","-2,855,000","-2,727,000","-3,559,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"40,418,065","40,062,954","33,735,269","31,027,460","30,365,506","29,614,822","29,094,592","26,507,869","23,024,026","22,595,359","22,426,982","19,007,572","611,680","593,431","550,175","537,203","537,315","487,744","469,758",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"40,418,065","40,062,954","33,735,269","31,027,460","30,365,506","29,614,822","29,094,592","26,507,869","23,024,026","22,595,359","22,426,982","19,007,572","611,680","593,431","550,175","537,203","537,315","487,744","469,758",Financials in USD,Fiscal year is January - December
Shares Change (YoY),33.105%,35.280%,15.950%,17.050%,31.886%,31.066%,29.730%,39.460%,3664.064%,3707.580%,3976.336%,3438.248%,13.840%,21.669%,17.119%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.246,-0.176,-0.271,-0.262,-0.222,-0.160,-0.212,-0.195,-0.288,-0.255,-0.171,-0.397,-8.124,-4.767,-1.645,-5.458,-5.313,-5.591,-7.576,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.250,-0.180,-0.271,-0.268,-0.222,-0.160,-0.212,-0.204,-0.290,-0.255,-0.171,-0.397,-8.124,-4.767,-1.645,-5.458,-5.313,-5.591,-7.576,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,851,000","-6,000,000","-7,244,000","-5,486,000","-4,219,000","-3,714,000","-2,746,000","-10,194,000","-27,000","-5,361,000","-3,122,000","74,000","-2,050,000","-910,000","-772,000","-480,000","-961,000","-2,522,000","520,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.170,-0.150,-0.215,-0.177,-0.139,-0.125,-0.094,-0.385,-0.001,-0.237,-0.139,0.004,-3.351,-1.533,-1.403,-0.894,-1.789,-5.171,1.107,Financials in USD,Fiscal year is January - December
EBITDA,"-14,436,000","-14,652,000","-14,075,000","-15,162,000","-14,720,000","-11,794,000","-8,952,000","-9,277,000","-12,603,000","-12,193,000","-9,395,000","-11,785,000","-5,200,000","-5,960,000","-5,560,000","-4,096,000","-4,437,000","-3,910,000","-4,866,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"27,000","26,000","27,000","27,000","25,000","23,000","21,000","23,000","22,000","20,000","18,000","23,000","23,000","24,000","23,000","24,000","24,000","25,000","25,000",Financials in USD,Fiscal year is January - December
EBIT,"-14,463,000","-14,678,000","-14,102,000","-15,189,000","-14,745,000","-11,817,000","-8,973,000","-9,300,000","-12,625,000","-12,213,000","-9,413,000","-11,808,000","-5,223,000","-5,984,000","-5,583,000","-4,120,000","-4,461,000","-3,935,000","-4,891,000",Financials in USD,Fiscal year is January - December
