Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters,Currency,Fiscal_Year_period
Net Income,"-3,989,000","-7,778,000","-3,172,000","-8,211,000","-5,746,000","-6,033,000","-7,294,000","-33,553,000","-18,130,000","-17,053,000","-12,390,000","-11,920,000","-8,939,000","116,000","-7,661,000","-8,129,000","-7,533,000","-3,538,000","-4,676,000","-3,762,000",Upgrade,Financials in USD,Fiscal year is July - June
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,"22,000","66,000","65,000","64,000","65,000","66,000","65,000","65,000","21,625,000",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-3,989,000","-7,778,000","-3,172,000","-8,211,000","-5,746,000","-6,033,000","-7,294,000","-33,553,000","-18,130,000","-17,053,000","-12,390,000","-11,942,000","-9,005,000","51,000","-7,725,000","-8,194,000","-7,599,000","-3,603,000","-4,741,000","-25,387,000",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"8,633,000","8,583,000","3,713,000","1,856,000","1,198,000","858,000","659,000","490,000","442,100","436,350","435,950","435,750","435,750","434,042","431,078","376,174","324,884","220,252","159,834","73,834",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"8,633,000","8,583,000","3,713,000","1,856,000","1,198,000","858,000","659,000","490,000","442,100","436,350","435,950","435,750","435,750","434,042","431,078","376,174","324,884","220,252","159,834","73,834",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),620.618%,900.350%,463.429%,278.776%,170.979%,96.631%,51.164%,12.450%,1.457%,0.532%,1.130%,15.837%,34.125%,97.066%,169.704%,409.486%,640.966%,453.036%,315.715%,97.544%,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.462,-0.906,-0.854,-4.424,-4.796,-7.031,-11.068,-68.476,-41.009,-39.081,-28.421,-27.406,-20.666,0.117,-17.920,-21.782,-23.390,-16.359,-29.662,-343.839,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.462,-0.906,-0.855,-4.424,-4.796,-7.031,-11.070,-68.476,-41.009,-39.081,-28.421,-27.453,-20.666,0.117,-17.920,-21.782,-23.390,-16.359,-29.662,-343.839,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-3,715,000","-5,064,000","-3,654,000","-4,706,000","-5,340,000","-5,476,000","-3,671,000","-10,589,000","-17,130,000","-14,933,000","-6,588,000",-,"-10,470,000","-9,740,000","-8,342,000","-9,413,000","-7,489,000","-4,674,000","-3,855,000","-3,607,000",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.430,-0.590,-0.984,-2.536,-4.457,-6.382,-5.571,-21.610,-38.747,-34.223,-15.112,-,-24.028,-22.440,-19.351,-25.023,-23.051,-21.221,-24.119,-48.853,Upgrade,Financials in USD,Fiscal year is July - June
Gross Margin,-,100.000%,-,-,100.000%,-,-,-,-,-,100.000%,-,100.000%,61.914%,35.556%,70.071%,73.902%,73.303%,10.417%,100.000%,Upgrade,Financials in USD,Fiscal year is July - June
Operating Margin,-,-1948.000%,-,-,-10206.000%,-,-,-,-,-,-377.111%,-,-6220.238%,-1893.279%,-941.569%,-1070.213%,-1688.780%,-261.518%,-4233.333%,-1004.777%,Upgrade,Financials in USD,Fiscal year is July - June
Profit Margin,-,-4444.571%,-,-,-11492.000%,-,-,-,-,-,-688.333%,-,-10720.238%,10.387%,-1009.804%,-1162.270%,-1853.415%,-321.696%,-4938.542%,-8085.032%,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,-,-2893.714%,-,-,-10680.000%,-,-,-,-,-,-366.000%,-,-12464.286%,-1983.707%,-1090.458%,-1335.177%,-1826.585%,-417.321%,-4015.625%,-1148.726%,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"-3,913,000","-3,182,000","-3,394,000","-4,262,000","-4,867,000","-4,726,000","-5,978,000","-10,339,000","-7,569,000","-10,385,000","-6,666,000","-6,444,000","-4,415,000","-8,666,000","-6,605,000","-6,943,000","-6,340,000","-2,366,000","-3,506,000","-2,593,000",Upgrade,Financials in USD,Fiscal year is July - June
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-211.250%,-,-,Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"193,000","227,000","232,000","234,000","236,000","239,000","191,000","234,000","67,000","68,000","122,000","787,000","810,000","630,000","598,000","602,000","584,000","563,000","558,000","562,000",Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-4,106,000","-3,409,000","-3,626,000","-4,496,000","-5,103,000","-4,965,000","-6,169,000","-10,573,000","-7,636,000","-10,453,000","-6,788,000","-7,231,000","-5,225,000","-9,296,000","-7,203,000","-7,545,000","-6,924,000","-2,929,000","-4,064,000","-3,155,000",Upgrade,Financials in USD,Fiscal year is July - June
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-261.518%,-,-,Upgrade,Financials in USD,Fiscal year is July - June
