Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Other Unusual Items,-,-,-,"234,000",-,-,-,-,-,-,-,"61,816",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,006,456","-3,450,256","-3,220,424","-4,561,709","-5,994,498","-3,112,767","-1,520,534","-2,987,113","-7,641,890","-5,884,715","-5,137,002","-4,117,629","-3,215,744","-2,343,419","-2,379,271","-705,211","-1,708,163","-1,269,784","-656,495","-700,013",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,006,456","-3,450,256","-3,220,424","-4,561,709","-5,994,498","-3,112,767","-1,520,534","-2,987,113","-7,641,890","-5,884,715","-5,137,002","-4,117,629","-3,215,744","-2,343,419","-2,379,271","-705,211","-1,708,163","-1,269,784","-656,495","-700,013",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,006,456","-3,450,256","-3,220,424","-4,561,709","-5,994,498","-3,112,767","-1,520,534","-2,987,113","-7,641,890","-5,884,715","-5,137,002","-4,117,629","-3,215,744","-2,343,419","-2,379,271","-705,211","-1,708,163","-1,269,784","-656,495","-700,013",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,657,711","1,977,093","1,171,233","1,170,648","1,171,233","1,171,233","1,171,233","1,170,594","1,171,338","1,171,275","1,170,869","1,177,043","601,180","495,900","394,515","315,667","314,209","308,638","304,466","300,242",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,657,711","1,977,093","1,171,233","1,170,648","1,171,233","1,171,233","1,171,233","1,170,594","1,171,338","1,171,275","1,170,869","1,177,043","601,180","495,900","394,515","315,667","314,209","308,638","304,466","300,242",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),297.676%,68.804%,-,0.005%,-0.009%,-0.004%,0.031%,-0.548%,94.840%,136.192%,196.787%,272.875%,91.331%,60.674%,29.576%,5.138%,6.902%,6.899%,5.454%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.431,-1.745,-2.750,-3.897,-5.118,-2.658,-1.298,-2.552,-6.524,-5.024,-4.387,-3.498,-5.349,-4.726,-6.031,-2.234,-5.436,-4.114,-2.156,-2.331,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.431,-1.745,-2.750,-3.897,-5.118,-2.658,-1.298,-2.552,-6.524,-5.024,-4.387,-3.498,-5.349,-4.726,-6.031,-2.234,-5.436,-4.114,-2.156,-2.331,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,469,274","-1,643,607","-7,729,332","-3,011,481","-2,651,007","-2,182,917","-2,008,367","-1,567,327","-5,498,524","-4,736,000","-6,044,857","-4,922,323","-4,742,520","-1,797,511","-3,080,238","-150,829","-643,404","-368,231","-222,396","-266,254",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.960,-0.831,-6.599,-2.572,-2.263,-1.864,-1.715,-1.339,-4.694,-4.043,-5.163,-4.182,-7.889,-3.625,-7.808,-0.478,-2.048,-1.193,-0.730,-0.887,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,924,354","-3,458,382","-3,302,457","-918,099","-6,115,138","-3,239,487","-2,901,065","-1,102,083","-7,715,142","-5,904,089","-5,123,819","-4,121,617","-3,249,774","-2,305,537","-2,348,572","-686,877","-1,662,454","-1,230,523","-615,865","-663,306",Upgrade,Financials in USD,Fiscal year is January - December
