Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Interest & Investment Income,"397,000","463,000","462,000","404,000","433,000","382,000","410,000","394,000","384,000","51,000","1,000","3,000","1,000",-,"2,000","2,000","252,000","380,000","405,000","234,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"448,000","-378,000","-354,000","1,253,000","-827,000","-497,000","-472,000","550,000","-475,000","-1,892,000",-,"1,804,000","393,000",-,-,"2,705,000","351,000",-,-,"262,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"19,000",-,"-3,000","1,000","86,000",-,"-150,000",-,"2,000","37,000","100,000","53,000","1,005,000","-1,663,000","-258,000","55,000","1,168,000","-1,315,000","434,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,995,000","-5,763,000","-6,553,000","-1,178,000","-7,098,000","-5,053,000","-6,704,000","-5,845,000","-5,342,000","-6,073,000","-6,358,000","-26,331,000","-6,396,000","-6,078,000","-8,711,000","-3,433,000","-6,067,000","-4,854,000","-8,348,000","-5,242,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-700,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-6,000","-10,000","-5,000","-6,000","-60,000","-150,000","40,000","-517,000","-233,000","-709,000","-735,000","-1,678,000","-2,450,000","590,000","7,263,000","4,417,000","-1,883,000","-1,676,000","-80,000","602,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"-3,530,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,"457,000",-,-,-,-,-,-,"523,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,001,000","-5,773,000","-6,558,000","-4,714,000","-7,158,000","-5,203,000","-6,207,000","-6,362,000","-5,575,000","-6,782,000","-7,093,000","-28,009,000","-8,846,000","-4,965,000","-1,448,000","984,000","-7,950,000","-6,530,000","-8,428,000","-5,340,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,"-1,803,000",-,"541,000",-,-,"1,181,000","-1,012,000","-169,000",-,"-1,061,000","-178,000",-,-,"-784,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-3,001,000","-5,773,000","-6,558,000","-4,714,000","-7,158,000","-5,203,000","-4,404,000","-6,362,000","-6,116,000","-6,782,000","-7,093,000","-29,190,000","-7,834,000","-4,796,000","-1,448,000","2,045,000","-7,772,000","-6,530,000","-8,428,000","-4,556,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-33,000","13,000","16,000","-61,000","48,000","-26,000","32,000","8,000","47,000","19,000","6,000","200,000","11,000","8,000","32,000","-13,000","12,000","8,000","29,000","74,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,034,000","-5,760,000","-6,542,000","-4,775,000","-7,110,000","-5,229,000","-4,372,000","-6,354,000","-6,069,000","-6,763,000","-7,087,000","-28,990,000","-7,823,000","-4,788,000","-1,416,000","2,032,000","-7,760,000","-6,522,000","-8,399,000","-4,482,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,034,000","-5,760,000","-6,542,000","-4,775,000","-7,110,000","-5,229,000","-4,372,000","-6,354,000","-6,069,000","-6,763,000","-7,087,000","-28,990,000","-7,823,000","-4,788,000","-1,416,000","2,032,000","-7,760,000","-6,522,000","-8,399,000","-4,482,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"188,835,000","188,813,000","182,909,000","175,012,000","174,868,000","170,592,000","170,127,000","170,002,000","169,786,000","169,731,000","169,647,000","168,648,000","167,624,000","162,914,000","158,725,000","150,572,000","149,973,000","149,821,000","149,807,000","149,794,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"188,835,000","188,813,000","182,909,000","175,012,000","174,868,000","170,592,000","170,127,000","170,002,000","169,786,000","169,731,000","169,647,000","168,648,000","167,624,000","162,914,000","158,725,000","150,572,000","149,973,000","149,821,000","149,807,000","149,794,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.987%,10.681%,7.513%,2.947%,2.993%,0.507%,0.283%,0.803%,1.290%,4.184%,6.881%,12.005%,11.769%,8.739%,5.953%,0.519%,0.210%,0.160%,12.748%,17.957%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.016,-0.031,-0.036,-0.027,-0.041,-0.031,-0.026,-0.037,-0.036,-0.040,-0.042,-0.172,-0.047,-0.029,-0.009,0.013,-0.052,-0.044,-0.056,-0.030,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.016,-0.031,-0.036,-0.027,-0.041,-0.031,-0.026,-0.037,-0.036,-0.040,-0.042,-0.172,-0.050,-0.030,-0.010,0.012,-0.052,-0.044,-0.060,-0.030,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,899,000","-5,226,000","-5,821,000","-6,110,000","-5,176,000","-6,524,000","-11,430,000","-8,287,000","-5,766,000","-7,159,000","21,858,000","-6,019,000","-4,916,000","-5,531,000","-7,435,000","-5,665,000","-4,871,000","-4,245,000","-5,036,000","-5,530,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.031,-0.028,-0.032,-0.035,-0.030,-0.038,-0.067,-0.049,-0.034,-0.042,0.129,-0.036,-0.029,-0.034,-0.047,-0.038,-0.032,-0.028,-0.034,-0.037,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,15.083%,-106.818%,-115.235%,87.739%,-213.804%,-24.031%,-80.385%,94.674%,92.161%,95.278%,96.639%,82.534%,56.608%,75.586%,71.355%,67.887%,82.137%,80.570%,81.712%,90.089%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-101.614%,-416.690%,-461.288%,-135.632%,-538.122%,-155.783%,-278.374%,-346.684%,-175.150%,-92.994%,-122.131%,-2417.637%,-301.454%,-1382.813%,-1803.069%,-1656.901%,-1177.758%,-1658.549%,-1447.082%,-497.341%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-80.286%,-409.091%,-453.047%,-228.688%,-570.626%,-162.140%,-183.236%,-331.802%,-202.435%,-148.539%,-135.326%,-2482.021%,-344.626%,-935.156%,-362.148%,572.394%,-1359.019%,-1689.637%,-1634.047%,-361.160%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-156.099%,-371.165%,-403.116%,-292.625%,-415.409%,-202.295%,-479.044%,-432.742%,-192.328%,-157.237%,417.376%,-515.325%,-216.564%,-1080.273%,-1901.535%,-1595.775%,-853.065%,-1099.741%,-979.767%,-445.608%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-3,699,000","-5,725,000","-6,486,000","-2,657,000","-6,529,000","-4,854,000","-6,471,000","-6,466,000","-5,058,000","-4,051,000","-6,218,000","-28,047,000","-6,644,000","-6,883,000","-6,764,000","-5,546,000","-6,276,000","-5,858,000","-6,728,000","-5,438,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-97.883%,-,-,-127.251%,-,-150.512%,-271.207%,-,-168.712%,-88.974%,-118.732%,-,-292.687%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"141,000","142,000","175,000","175,000","176,000","170,000","171,000","173,000","193,000","183,000","178,000","191,000","199,000","197,000","286,000","336,000","449,000","544,000","710,000","734,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-3,840,000","-5,867,000","-6,661,000","-2,832,000","-6,705,000","-5,024,000","-6,642,000","-6,639,000","-5,251,000","-4,234,000","-6,396,000","-28,238,000","-6,843,000","-7,080,000","-7,050,000","-5,882,000","-6,725,000","-6,402,000","-7,438,000","-6,172,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-101.614%,-,-,-135.632%,-,-155.783%,-278.374%,-,-175.150%,-92.994%,-122.131%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"3,779,000","1,408,000","1,444,000","2,088,000","1,246,000","3,225,000","2,386,000","1,915,000","2,998,000","4,553,000","5,237,000","1,168,000","2,270,000","512,000","391,000","355,000","571,000","386,000","514,000","1,241,000",Upgrade,Financials in USD,Fiscal year is January - December
