Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Other Unusual Items,-,-,-,"-21,000","21,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-640,785","-1,606,522","-1,724,294","-1,676,184","-1,396,626","-1,209,591","-718,096","-601,374","-925,305","-666,717","-1,362,109","-890,387","-878,299","-1,547,796","-1,206,452","-523,652","-1,046,108","-567,354","-498,589","-749,866",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-640,785","-1,606,522","-1,724,294","-1,676,184","-1,396,626","-1,209,591","-718,096","-601,374","-925,305","-666,717","-1,362,109","-890,387","-878,299","-1,547,796","-1,206,452","-523,652","-1,046,108","-567,354","-498,589","-749,866",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-640,785","-1,606,522","-1,724,294","-1,676,184","-1,396,626","-1,209,591","-718,096","-601,374","-925,305","-666,717","-1,362,109","-890,387","-878,299","-1,547,796","-1,206,452","-523,652","-1,046,108","-567,354","-498,589","-749,866",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,529,096","4,443,243","4,435,132","4,393,951","4,330,959","4,330,959","4,317,875","4,321,523","4,321,315","4,320,173","4,308,413","4,286,274","4,130,471","3,621,819","2,630,121","2,633,569","2,568,940","2,565,355","2,565,355","2,565,355",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,529,096","4,443,243","4,435,132","4,393,951","4,330,959","4,330,959","4,317,875","4,321,523","4,321,315","4,320,173","4,308,413","4,286,274","4,130,471","3,621,819","2,630,121","2,633,569","2,568,940","2,565,355","2,565,355","2,565,355",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.575%,2.593%,2.716%,1.676%,0.223%,0.250%,0.220%,0.822%,4.620%,19.282%,63.810%,62.755%,60.785%,41.182%,2.525%,2.659%,0.140%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.141,-0.362,-0.389,-0.381,-0.322,-0.279,-0.166,-0.139,-0.214,-0.154,-0.316,-0.208,-0.213,-0.427,-0.459,-0.199,-0.407,-0.221,-0.194,-0.292,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.141,-0.362,-0.390,-0.381,-0.322,-0.280,-0.170,-0.139,-0.214,-0.154,-0.316,-0.208,-0.213,-0.427,-0.459,-0.199,-0.407,-0.221,-0.194,-0.292,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-185,661","-1,551,880","-1,659,185","-1,238,403","-711,572","-1,531,742","-371,834","-182,741","-535,233","-847,080","-430,565","-405,089","-1,075,435","-710,383","-607,707","-320,868","-517,814","-145,691","-364,406","-149,420",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.041,-0.349,-0.374,-0.282,-0.164,-0.354,-0.086,-0.042,-0.124,-0.196,-0.100,-0.095,-0.260,-0.196,-0.231,-0.122,-0.202,-0.057,-0.142,-0.058,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-639,494","-1,654,776","-1,725,787","-1,185,608","-1,430,293","-1,143,651","-739,204","-655,770",-,-,-,"-861,147","-764,099","-1,308,761","-1,206,118","-536,847","-1,091,932","-488,862","-520,652","-737,144",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"12,572","12,571","12,572","26,618","1,419",91,90,8,-,-,-,72,72,72,72,37,84,81,84,85,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-652,066","-1,667,347","-1,738,359","-1,212,226","-1,431,712","-1,143,742","-739,294","-655,778","-924,060","-636,674","-1,341,276","-861,219","-764,171","-1,308,833","-1,206,190","-536,884","-1,092,016","-488,943","-520,736","-737,229",Upgrade,Financials in USD,Fiscal year is January - December
